"","year","region","crime_rate","pop_density","pol_officer_rate","pov_rate","unemp_rate","med_age"
"165",1998,"hawaii",5086.1,185.738751362292,2.33,12.3,6.2,35
"166",1998,"idaho",3432.5,14.8517842684681,1.98,13.2,5,33
"167",1998,"illinois",4065,216.663968485241,2.78,11.1,4.5,34
"168",1998,"indiana",3738.4,164.454976303318,1.83,8.6,3.1,34
"169",1998,"iowa",3189.1,51.2214765100671,1.73,9.4,2.8,36
"170",1998,"kansas",4461.7,32.1303301027828,2.55,10.1,3.8,34
"171",1998,"kentucky",2605.3,99.0637269707037,1.97,15.5,4.6,35
"172",1998,"louisiana",5318.8,100.284625625488,3.58,18.6,5.7,33
"173",1998,"maine",2914.9,40.3045520816459,1.68,10.6,4.4,37
"174",1998,"maryland",4569.1,525.319693094629,2.77,8.6,4.6,35
"175",1998,"massachusetts",2814.6,784.256187803011,2.69,10.3,3.3,35
"176",1998,"michigan",4062.1,172.807125631502,2.06,10.8,3.9,35
"177",1998,"minnesota",3736.3,59.3466219525981,1.72,9.9,2.5,34
"178",1998,"mississippi",3973.3,58.6605277742252,2,18.3,5.4,33
"179",1998,"missouri",4270.7,78.9427849865018,2.17,10.4,4.2,35
"180",1998,"montana",3931.9,6.04578306631125,1.71,16.4,5.6,36
"181",1998,"nebraska",3953.8,21.6316761622311,1.85,10.8,2.7,35
"182",1998,"nevada",4636.9,15.9098774201774,2.22,9.9,4.3,34
"183",1998,"new hampshire",2312.7,132.121752703757,1.67,8.4,2.9,36
"184",1998,"new jersey",3213.9,1093.81318236959,3.66,9,4.6,36
"185",1998,"new mexico",5757.7,14.312316667216,2.26,22.4,6.2,33
"186",1998,"new york",2950.7,384.867863798069,3.33,16.6,5.6,35
"187",1998,"north carolina",4742.8,154.891415903773,2.57,12.5,3.5,35
"188",1998,"north dakota",2591.7,9.2471809142824,1.67,13.2,3.2,35
"189",1998,"ohio",3965,273.704002148805,1.95,11.6,4.3,35
"190",1998,"oklahoma",4464.5,48.7339652586671,2.04,14.8,4.5,35
"191",1998,"oregon",5226.8,34.1867877752547,1.65,12.8,5.6,36
"192",1998,"pennsylvania",2852.4,267.759928603302,2.02,11.3,4.6,37
"193",1998,"rhode island",3205.7,945.454545454545,2.41,11.8,4.9,36
"194",1998,"south carolina",4873.8,127.395304041712,2.48,13.3,3.8,34
"195",1998,"south dakota",2469.8,9.72383261304944,1.57,13,2.9,35
"196",1998,"tennessee",4319.4,131.759625415464,2.32,14.5,4.2,35
"197",1998,"texas",4547,75.4446115900639,2.3,16.1,4.8,32
"198",1998,"utah",5191.7,25.5573946061727,1.86,8.5,3.8,27
"199",1998,"vermont",3032.8,63.8987998702562,1.58,10.6,3.4,36
