"","year","region","crime_rate","pop_density","pol_officer_rate","pov_rate","unemp_rate","med_age"
"253",1999,"west virginia",350.6,75.0197201810105,1.65,16.7,6.6,38
"254",1999,"wisconsin",245.9,96.6601612843834,2.48,8.5,3,35
"255",1999,"wyoming",232.3,4.94310282683693,2.55,11.9,4.9,35
"256",2000,"alabama",486.2,87.6275862068966,2.29,14.6,4.6,35
"257",2000,"alaska",566.9,1.09915949885514,1.85,8.3,6.6,32
"258",2000,"arizona",531.7,45.1473222928143,2.03,13.6,3.9,34
"259",2000,"arkansas",445.3,51.3374939990398,2.11,15.8,4.4,36
"260",2000,"california",621.6,217.163534714342,2.15,14,4.9,33
"261",2000,"colorado",334,41.4663305343732,2.4,8.5,2.7,34
"262",2000,"connecticut",324.7,702.902992776058,2.2,7.6,2.3,37
"263",2000,"delaware",684.4,400.818414322251,3.28,9.8,4,36
"264",2000,"district of columbia",1507.9,9378.01639344262,7.42,17.3,5.8,34
"265",2000,"florida",812,296.31566457163,2.57,12.1,3.6,38
"266",2000,"georgia",504.7,141.34313437732,3.03,12.6,3.7,33
"267",2000,"hawaii",243.8,188.62478592558,2.5,10.5,4.3,36
"268",2000,"idaho",252.5,15.6367052966127,1.94,13.3,4.9,33
"269",2000,"illinois",656.8,223.396704621085,2.93,10.5,4.4,34
"270",2000,"indiana",349.1,169.514496793978,1.83,8.2,3.2,35
"271",2000,"iowa",266.4,52.3726890380313,1.68,7.9,2.6,36
"272",2000,"kansas",389.4,32.8565073390123,2.44,10.4,3.7,35
"273",2000,"kentucky",294.5,101.725787778113,1.97,12.5,4.1,35
"274",2000,"louisiana",681.1,102.579442684662,3.81,18.6,5.5,34
"275",2000,"maine",109.6,41.306431232788,1.69,9.8,3.5,38
"276",2000,"maryland",786.6,541.84,2.74,7.3,3.9,36
"277",2000,"massachusetts",476.1,810.040443990814,2.62,10.2,2.6,36
"278",2000,"michigan",555,174.944885493496,2.14,10.2,3.6,35
"279",2000,"minnesota",280.8,61.7893037919037,1.7,7.8,3.3,35
"280",2000,"mississippi",360.9,60.6355885236816,2.07,15.5,5.7,33
"281",2000,"missouri",490,81.2100641528056,2.14,9.7,3.5,36
"282",2000,"montana",240.6,6.19826733353486,1.58,16,4.9,37
"283",2000,"nebraska",327.6,22.2594630453446,1.88,10.6,3,35
"284",2000,"nevada",524.2,18.1980675008652,2.41,10,4.1,35
"285",2000,"new hampshire",175.4,137.784145389676,1.83,7.4,2.8,37
"286",2000,"new jersey",383.8,1134.16228602237,3.63,8.1,3.8,36
"287",2000,"new mexico",757.9,14.9883490985795,2.29,19.3,4.9,34
"288",2000,"new york",553.9,401.839255463324,3.26,14.7,4.6,35
"289",2000,"north carolina",497.6,165.222566607825,2.56,13.2,3.6,35
"290",2000,"north dakota",81.4,9.30805577296577,1.7,12.7,3,36
"291",2000,"ohio",334.1,277.223646619295,2.02,11.1,4.1,36
"292",2000,"oklahoma",497.8,50.2432184510549,2.02,14.1,3,35
"293",2000,"oregon",350.7,35.6388304410325,1.64,12.8,4.9,36
"294",2000,"pennsylvania",420,274.008344489067,2.02,9.9,4.2,38
"295",2000,"rhode island",297.7,1003.17607655502,2.33,10,4.1,36
"296",2000,"south carolina",804.9,133.240742585766,2.77,11.9,3.9,35
"297",2000,"south dakota",166.8,9.94576789290608,1.56,9.3,2.3,35
"298",2000,"tennessee",707.2,138.025740556539,2.76,13.3,3.9,35
"299",2000,"texas",545.1,79.6132318241866,2.24,14.9,4.2,32
"300",2000,"utah",255.7,27.1780863596534,1.92,8.1,3.2,27
"301",2000,"vermont",113.5,65.8262514866472,1.58,10.1,2.9,37
"302",2000,"virginia",281.7,178.75940704076,2.34,8.1,2.2,35
"303",2000,"washington",369.7,88.5255703579099,1.59,9.4,5.2,35
"304",2000,"west virginia",316.5,75.0755179142276,1.67,15.8,5.5,39
"305",2000,"wisconsin",236.8,98.7530839194315,2.38,8.8,3.5,36
"306",2000,"wyoming",266.5,5.08503166675248,2.44,11,3.9,36
"307",2001,"alabama",438.6,87.9676059113301,2.27,14.8,5.3,36
"308",2001,"alaska",588.3,1.11311525420163,1.9,7.9,6.3,32
"309",2001,"arizona",540.3,46.70219637106,2.03,12.9,4.7,34
"310",2001,"arkansas",452.8,51.6963994239078,2.12,16.3,5.1,36
"311",2001,"california",617,221.199374250672,2.12,13.1,5.3,33
"312",2001,"colorado",350.7,42.5889963269674,2.42,9,3.7,34
"313",2001,"connecticut",335.5,706.929618163055,2.28,7.4,3.3,37
"314",2001,"delaware",611.4,407.245524296675,3.4,8.5,3.5,36
"315",2001,"district of columbia",1736.7,9374.13114754098,7.99,16.1,6.5,34
"316",2001,"florida",797.2,303.993826130486,2.55,12,4.8,38
"317",2001,"georgia",497,144.752412852432,4.13,12.6,4,33
"318",2001,"hawaii",254.6,190.62712128289,2.39,10.4,4.6,36
"319",2001,"idaho",243.1,15.9636258172107,1.94,12.7,5,33
"320",2001,"illinois",636.9,224.530084722897,2.92,10.2,5.4,34
"321",2001,"indiana",371.8,170.469612489546,1.82,7.9,4.4,35
"322",2001,"iowa",269.1,52.3164026845638,1.7,7.7,3.3,36
"323",2001,"kansas",404.8,32.9325617491414,2.57,10.1,4.3,35
"324",2001,"kentucky",257,102.324473975637,1.97,12.4,5.5,36
"325",2001,"louisiana",687,102.498048937245,3.72,17.5,6,34
"326",2001,"maine",111.5,41.6870241373724,1.7,10.3,4,39
"327",2001,"maryland",783,549.888081841432,2.74,7.3,4.1,36
"328",2001,"massachusetts",479.5,813.894360806328,2.63,10.2,3.7,36
"329",2001,"michigan",554.7,175.866799274763,2.1,9.7,5.3,35
"330",2001,"minnesota",264.4,62.4526671439517,1.7,6.8,3.7,35
"331",2001,"mississippi",350.1,60.920599394637,2.04,16.8,5.5,34
"332",2001,"missouri",541.3,81.7107463206479,2.15,10.2,4.7,36
"333",2001,"montana",352.4,6.21364285910577,1.7,14.4,4.6,38
"334",2001,"nebraska",304.3,22.285114076849,1.89,9.7,3.1,35
"335",2001,"nevada",586.8,19.17995373659,2.14,9,5.3,35
"336",2001,"new hampshire",170.3,140.392574423013,1.86,6.2,3.5,37
"337",2001,"new jersey",390.1,1143.60843779485,3.64,7.7,4.2,37
"338",2001,"new mexico",781.1,15.0715698230118,2.19,18.8,4.8,34
"339",2001,"new york",516,402.578731153651,3.22,14.1,4.9,36
"340",2001,"north carolina",494.3,168.033745227637,2.58,12.9,5.5,35
"341",2001,"north dakota",79.6,9.19569817665304,1.74,12.4,2.8,36
"342",2001,"ohio",351.9,277.721803042512,2.01,10.8,4.3,36
"343",2001,"oklahoma",512.3,50.3807131728767,2.05,14.3,3.8,35
"344",2001,"oregon",306.7,36.1749442719943,1.61,11.8,6.3,36
"345",2001,"pennsylvania",410.4,274.144355198572,2.03,9.2,4.7,38
"346",2001,"rhode island",309.6,1013.32057416268,2.3,10,4.7,37
"347",2001,"south carolina",720.3,134.934442562519,2.73,12.7,5.4,35
"348",2001,"south dakota",154.8,9.96890481711816,1.6,9,3.3,35
"349",2001,"tennessee",745.3,139.2566777457,2.78,13.2,4.5,36
"350",2001,"texas",572.8,81.4199240972227,2.21,15.2,4.9,32
"351",2001,"utah",234.1,27.6237586408334,1.85,8,4.4,27
"352",2001,"vermont",105,66.2871661801276,1.62,9.8,3.6,38
"353",2001,"virginia",291.3,181.517601899086,2.4,8,3.5,36
"354",2001,"washington",355,89.9351616827624,1.62,10.4,6.4,35
"355",2001,"west virginia",279.4,74.8086519699423,1.77,15.6,4.9,39
"356",2001,"wisconsin",231.1,99.456972419634,2.38,8.6,4.6,36
"357",2001,"wyoming",257.3,5.09163276865249,2.54,10.3,3.9,36
"358",2002,"alabama",444.2,88.4040985221675,2.28,14.6,5.9,36
"359",2002,"alaska",563.4,1.12870853159506,1.87,8.3,7.7,32
"360",2002,"arizona",552.9,48.0144048855177,2.01,13.3,6.2,34
"361",2002,"arkansas",424.4,52.0418434949592,2.11,18,5.4,36
"362",2002,"california",593.4,225.14174248107,2.18,12.8,6.7,33
"363",2002,"colorado",352.4,43.445343153795,2.52,9.4,5.7,34
"364",2002,"connecticut",311.1,714.242105263158,2.26,7.8,4.3,38
"365",2002,"delaware",599,412.984654731458,3.69,8.1,4.2,36
"366",2002,"district of columbia",1632.9,9358.98360655738,8.1,16.8,6.4,34
"367",2002,"florida",770.2,309.864267571426,2.55,12.1,5.5,39
"368",2002,"georgia",458.8,147.797959218909,2.88,12.1,5.1,33
"369",2002,"hawaii",262,193.81877627277,2.38,10.6,4.2,36
"370",2002,"idaho",254.9,16.2068252951626,1.91,11.8,5.8,33
"371",2002,"illinois",620.7,226.658392243628,2.89,11.2,6.5,35
"372",2002,"indiana",357.2,171.705269027042,1.84,8.7,5.1,35
"373",2002,"iowa",285.6,52.5594630872483,1.7,8.3,4,37
"374",2002,"kansas",376.6,33.1921831269936,2.63,9.4,5.1,35
"375",2002,"kentucky",279,103.012458471761,1.98,13.1,5.6,36
"376",2002,"louisiana",662.3,102.893219483083,3.87,17,6.1,34
"377",2002,"maine",107.8,41.9395431718775,1.69,11.3,4.4,39
"378",2002,"maryland",769.8,558.377186700767,2.73,7.3,4.4,36
"379",2002,"massachusetts",484.4,820.081781066599,2.58,9.6,5.3,37
"380",2002,"michigan",540.3,176.91643929659,2.22,10.3,6.2,36
