"year","population","region","property_crime","violent_crime","cluster_number"
2011,4679230,"south carolina",3904.2,571.9,"1"
2011,824082,"south dakota",1817.7,254.1,"2"
2011,6403353,"tennessee",3595.9,608.2,"1"
2011,25674681,"texas",3472.3,408.5,"1"
2011,2817222,"utah",2973.1,195,"1"
2011,626431,"vermont",2309,135.2,"2"
2011,8096604,"virginia",2249.6,196.7,"2"
2011,6830038,"washington",3574.6,294.6,"1"
2011,1855364,"west virginia",2273.9,315.9,"2"
2011,5711767,"wisconsin",2432.7,236.9,"2"
2011,568158,"wyoming",2266.4,219.3,"2"
2012,4822023,"alabama",3502.2,449.9,"1"
2012,731449,"alaska",2739.4,603.2,"2"
2012,6553255,"arizona",3539.2,428.9,"1"
2012,2949131,"arkansas",3660.1,469.1,"1"
2012,38041430,"california",2758.7,423.1,"2"
2012,5187582,"colorado",2684.7,308.9,"2"
2012,3590347,"connecticut",2140,283,"2"
2012,917092,"delaware",3340.9,547.4,"1"
2012,632323,"district of columbia",4860.8,1243.7,"3"
2012,19317568,"florida",3276.7,487.1,"1"
2012,9919945,"georgia",3410.6,378.9,"1"
2012,1392313,"hawaii",3075.2,239.2,"1"
2012,1595728,"idaho",1983.5,207.9,"2"
2012,12875255,"illinois",2578.7,414.8,"2"
2012,6537334,"indiana",3029.2,345.7,"1"
2012,3074186,"iowa",2271.8,263.9,"2"
2012,2885905,"kansas",3143.2,354.6,"1"
2012,4380415,"kentucky",2552.9,222.6,"2"
2012,4601893,"louisiana",3540.6,496.9,"1"
2012,1329192,"maine",2509.9,122.7,"1"
2012,5884563,"maryland",2753.5,476.8,"2"
2012,6646144,"massachusetts",2153,405.5,"2"
2012,9883360,"michigan",2530.5,454.5,"2"
2012,5379139,"minnesota",2568.3,230.9,"2"
2012,2984926,"mississippi",2811,260.8,"1"
2012,6021988,"missouri",3314.4,450.9,"1"
2012,1005141,"montana",2583.7,272.2,"2"
2012,1855525,"nebraska",2754.9,259.4,"1"
2012,2758931,"nevada",2809.4,607.6,"2"
2012,1320718,"new hampshire",2324,187.9,"2"
2012,8864590,"new jersey",2047.3,290.2,"2"
2012,2085538,"new mexico",3600.7,559.1,"1"
2012,19570261,"new york",1922,406.8,"2"
2012,9752073,"north carolina",3369.5,353.4,"1"
2012,699628,"north dakota",2010.1,244.7,"2"
2012,11544225,"ohio",3117.4,299.7,"1"
2012,3814820,"oklahoma",3401,469.3,"1"
2012,3899353,"oregon",3224.2,247.6,"1"
2012,12763536,"pennsylvania",2166.3,348.7,"2"
2012,3667084,"puerto rico",1409.3,273.8,"2"
2012,1050292,"rhode island",2572.3,252.4,"2"
2012,4723723,"south carolina",3822.2,558.8,"1"
2012,833354,"south dakota",2060.1,321.8,"2"
2012,6456243,"tennessee",3371.4,643.6,"1"
2012,26059203,"texas",3361.8,408.6,"1"
2012,2855287,"utah",2991.8,205.8,"1"
2012,626011,"vermont",2398.7,142.6,"2"
2012,8185867,"virginia",2162.1,190.1,"2"
2012,6897012,"washington",3658.6,295.6,"1"
2012,1855413,"west virginia",2364.9,316.3,"2"
2012,5726398,"wisconsin",2453.8,280.5,"2"
2012,576412,"wyoming",2293.8,201.4,"2"
2013,4833722,"alabama",3351.3,430.8,"1"
2013,735132,"alaska",2885.2,640.4,"2"
2013,6626624,"arizona",3399.1,416.5,"1"
2013,2959373,"arkansas",3602.6,460.3,"1"
2013,38332521,"california",2658.1,402.1,"2"
2013,5268367,"colorado",2658.5,308,"1"
2013,3596080,"connecticut",1974.1,262.5,"2"
2013,925749,"delaware",3065.5,491.4,"1"
2013,646449,"district of columbia",4808.3,1300.3,"3"
2013,19552860,"florida",3105.3,470.4,"1"
2013,9992167,"georgia",3346.6,365.7,"1"
2013,1404054,"hawaii",3053.7,251.6,"1"
2013,1612136,"idaho",1864.3,217,"2"
2013,12882135,"illinois",2274.3,380.2,"2"
2013,6570902,"indiana",2854,357.4,"1"
2013,3090416,"iowa",2193.9,271.4,"2"
2013,2893957,"kansas",2946.8,339.9,"1"
2013,4395295,"kentucky",2362.9,209.8,"1"
2013,4625470,"louisiana",3582,518.5,"1"
2013,1328302,"maine",2292.2,129.3,"1"
2013,5928814,"maryland",2663.5,473.8,"2"
2013,6692824,"massachusetts",2051.2,413.4,"2"
2013,9895622,"michigan",2327.6,449.9,"2"
2013,5420380,"minnesota",2420.4,234.4,"1"
2013,2991207,"mississippi",2724.7,274.6,"1"
2013,6044171,"missouri",3137,433.4,"1"
2013,1015165,"montana",2556.5,252.9,"1"
2013,1868516,"nebraska",2623.4,262.1,"1"
2013,2790136,"nevada",2837.7,603,"2"
2013,1323459,"new hampshire",2194.3,215.3,"2"
2013,8899339,"new jersey",1882.8,288.5,"2"
2013,2085287,"new mexico",3704.8,613,"1"
2013,19651127,"new york",1824.8,393.7,"2"
2013,9848060,"north carolina",3128,342.2,"1"
2013,723393,"north dakota",2094,270.1,"2"
2013,11570808,"ohio",2927.5,286.2,"1"
2013,3850568,"oklahoma",3273.7,441.2,"1"
2013,3930065,"oregon",3173.9,254,"1"
2013,12773801,"pennsylvania",2060.8,335.4,"2"
2013,3615086,"puerto rico",1351.3,258,"2"
2013,1051511,"rhode island",2442,257.2,"1"
2013,4774839,"south carolina",3624.2,508.5,"1"
2013,844877,"south dakota",1914.7,316.5,"2"
2013,6495978,"tennessee",3180.9,590.6,"2"
2013,26448193,"texas",3258.2,408.3,"1"
2013,2900872,"utah",2950.4,224,"1"
2013,626630,"vermont",2214.2,121.1,"1"
2013,8260405,"virginia",2065.9,196.2,"2"
2013,6971406,"washington",3710.3,289.1,"1"
2013,1854304,"west virginia",2103.9,300.3,"2"
2013,5742713,"wisconsin",2188.7,277.9,"2"
2013,582658,"wyoming",2198.4,205.1,"2"
2014,4849377,"alabama",3177.6,427.4,"2"
2014,736732,"alaska",2760,635.8,"1"
2014,6731484,"arizona",3197.5,399.9,"2"
2014,2966369,"arkansas",3338,480.1,"2"
2014,38802500,"california",2441.1,396.1,"3"
2014,5355866,"colorado",2530.1,309.1,"2"
2014,3596677,"connecticut",1920.4,236.9,"3"
2014,935614,"delaware",2982,489.1,"2"
2014,658893,"district of columbia",5182.5,1244.4,"1"
2014,19893297,"florida",3415.5,540.5,"2"
2014,10097343,"georgia",3281.2,377.3,"2"
2014,1419561,"hawaii",3050,259.2,"2"
2014,1634464,"idaho",1854.8,212.2,"3"
2014,12880580,"illinois",2075.9,370,"3"
2014,6596855,"indiana",2649.4,365.3,"2"
2014,3107126,"iowa",2093.8,273.5,"3"
2014,2904021,"kansas",2735.2,348.6,"2"
2014,4413457,"kentucky",2246.9,211.6,"3"
2014,4649676,"louisiana",3458.8,514.7,"2"
2014,1330089,"maine",1986.4,127.8,"3"
2014,5976407,"maryland",2507.5,446.1,"3"
2014,6745408,"massachusetts",1857.1,391.4,"3"
2014,9909877,"michigan",2043.9,427.3,"3"
2014,5457173,"minnesota",2297.5,229.1,"3"
2014,2994079,"mississippi",2921.2,278.5,"2"
2014,6063589,"missouri",2906.5,442.9,"2"
2014,1023579,"montana",2472.9,323.7,"3"
2014,1881503,"nebraska",2523.5,280.4,"2"
2014,2839099,"nevada",2625.4,635.6,"1"
2014,1326813,"new hampshire",1962.7,196.1,"3"
2014,8938175,"new jersey",1734.1,261.2,"3"
2014,2085572,"new mexico",3542.3,597.4,"2"
2014,19746227,"new york",1718.2,381.8,"3"
2014,9943964,"north carolina",2873.1,329.5,"2"
2014,739482,"north dakota",2110.3,265.1,"3"
2014,11594163,"ohio",2799.1,284.9,"2"
2014,3878051,"oklahoma",2990.7,406,"2"
2014,3970239,"oregon",2879,232.3,"2"
2014,12787209,"pennsylvania",1931.7,314.1,"3"
2014,3548397,"puerto rico",1285.7,236.2,"3"
2014,1055173,"rhode island",2173.6,219.2,"3"
2014,4832482,"south carolina",3460.3,497.7,"2"
2014,853175,"south dakota",1863.9,326.5,"3"
