"","year","state","property_crime","violent_crime","density"
"212",1999,"arkansas",3617.5,425.2,48.9870379260682
"213",1999,"california",3177.8,627.2,212.504728382476
"214",1999,"colorado",3722.9,340.5,39.101890503138
"215",1999,"connecticut",3043.7,345.6,677.399380804954
"216",1999,"delaware",4101.1,734,385.677749360614
"217",1999,"district of columbia",6439.3,1627.7,8508.19672131147
"218",1999,"florida",5351.6,854,279.848880493361
"219",1999,"georgia",4614.6,534,134.463647507726
"220",1999,"hawaii",4602.4,235,184.493227463802
"221",1999,"idaho",2904.4,244.9,15.1297265289845
"222",1999,"illinois",3774.1,732.5,218.156962207472
"223",1999,"indiana",3391.3,374.6,165.681628101478
"224",1999,"iowa",2944,280,51.3467561521253
"225",1999,"kansas",4055.9,382.8,32.4358676655708
"226",1999,"kentucky",2577.5,300.6,99.6929427161985
"227",1999,"louisiana",5014.2,732.7,100.353486663912
"228",1999,"maine",2762.8,112.2,40.596144500243
"229",1999,"maryland",4175.8,743.4,529.104859335038
"230",1999,"massachusetts",2711.5,551,787.828527685634
"231",1999,"michigan",3749.9,574.9,173.634459328628
"232",1999,"minnesota",3323.2,274,59.9871886657372
"233",1999,"mississippi",3920.5,349.3,59.022892953063
"234",1999,"missouri",4078.5,500.2,79.3636970594212
"235",1999,"montana",3863.4,206.5,6.06639369040095
"236",1999,"nebraska",3678.1,430.2,21.6706990296314
"237",1999,"nevada",4083.7,570,16.4745095896399
"238",1999,"new hampshire",2185.4,96.5,133.905675103133
"239",1999,"new jersey",2988.2,411.9,1097.5872759132
"240",1999,"new mexico",5127.6,834.5,14.3370356942751
"241",1999,"new york",2690.5,588.8,385.33372861257
"242",1999,"north carolina",4633.3,542.1,157.046676792972
"243",1999,"north dakota",2326.2,66.9,9.18920485839348
"244",1999,"ohio",3680.1,316.4,274.876077454643
"245",1999,"oklahoma",4175.7,508.2,48.8941306658513
"246",1999,"oregon",4627.1,374.9,34.5409470636028
"247",1999,"pennsylvania",2693.2,420.5,267.60374832664
"249",1999,"rhode island",3295.4,286.6,948.325358851675
"250",1999,"south carolina",4477.3,847.1,129.055826774269
"251",1999,"south dakota",2477.4,167.4,9.65795298829978
"252",1999,"tennessee",3998.9,694.9,133.045440209612
"253",1999,"texas",4471.5,560.3,76.5289369793138
"254",1999,"utah",4700.9,275.5,25.9225002434038
"255",1999,"vermont",2703.5,113.8,64.2231592604606
"256",1999,"virginia",3059.2,314.7,173.569372190515
"257",1999,"washington",4878.3,377.3,86.4510896502005
"258",1999,"west virginia",2370,350.6,75.0197201810105
"259",1999,"wisconsin",3050.6,245.9,96.6601612843834
"260",1999,"wyoming",3222.5,232.3,4.94310282683693
"261",2000,"alabama",4059.7,486.2,87.6275862068966
"262",2000,"alaska",3682.5,566.9,1.09915949885514
"263",2000,"arizona",5297.8,531.7,45.1473222928143
"264",2000,"arkansas",3670,445.3,51.3374939990398
"265",2000,"california",3118.2,621.6,217.163534714342
"266",2000,"colorado",3648.6,334,41.4663305343732
"267",2000,"connecticut",NA,324.7,702.902992776058
"268",2000,"delaware",3793.6,684.4,400.818414322251
"269",2000,"district of columbia",5768.6,1507.9,9378.01639344262
"270",2000,"florida",4882.7,812,296.31566457163
"271",2000,"georgia",4246.4,504.7,141.34313437732
"272",2000,"hawaii",4955.1,243.8,188.62478592558
"273",2000,"idaho",2933.7,252.5,15.6367052966127
"274",2000,"illinois",3629.4,656.8,223.396704621085
"275",2000,"indiana",3402.8,349.1,169.514496793978
"276",2000,"iowa",2967.3,266.4,52.3726890380313
"277",2000,"kansas",4019.4,389.4,32.8565073390123
"278",2000,"kentucky",2665.2,294.5,101.725787778113
"279",2000,"louisiana",4741.7,681.1,102.579442684662
"280",2000,"maine",2510.2,109.6,41.306431232788
"281",2000,"maryland",4029.5,786.6,541.84
"282",2000,"massachusetts",2550,476.1,810.040443990814
"283",2000,"michigan",3554.9,555,174.944885493496
"284",2000,"minnesota",3207.6,280.8,61.7893037919037
"285",2000,"mississippi",3643.5,360.9,60.6355885236816
"286",2000,"missouri",4037.7,490,81.2100641528056
"287",2000,"montana",3292.7,240.6,6.19826733353486
"288",2000,"nebraska",3767.9,327.6,22.2594630453446
"289",2000,"nevada",3744.4,524.2,18.1980675008652
"290",2000,"new hampshire",2257.8,175.4,137.784145389676
"291",2000,"new jersey",2776.6,383.8,1134.16228602237
"292",2000,"new mexico",4761,757.9,14.9883490985795
"293",2000,"new york",2545.7,553.9,401.839255463324
"294",2000,"north carolina",4421.8,497.6,165.222566607825
"295",2000,"north dakota",2206.6,81.4,9.30805577296577
"296",2000,"ohio",3707.7,334.1,277.223646619295
"297",2000,"oklahoma",4060.8,497.8,50.2432184510549
"298",2000,"oregon",4494.7,350.7,35.6388304410325
"299",2000,"pennsylvania",2575.3,420,274.008344489067
"301",2000,"rhode island",3178.7,297.7,1003.17607655502
"302",2000,"south carolina",4416.5,804.9,133.240742585766
"303",2000,"south dakota",2153,166.8,9.94576789290608
"304",2000,"tennessee",4183,707.2,138.025740556539
"305",2000,"texas",4410.4,545.1,79.6132318241866
"306",2000,"utah",4220.3,255.7,27.1780863596534
"307",2000,"vermont",2873.4,113.5,65.8262514866472
"308",2000,"virginia",2746.4,281.7,178.75940704076
"309",2000,"washington",4736,369.7,88.5255703579099
"310",2000,"west virginia",2286.3,316.5,75.0755179142276
"311",2000,"wisconsin",2972.3,236.8,98.7530839194315
"312",2000,"wyoming",3031.5,266.5,5.08503166675248
"313",2001,"alabama",3880.8,438.6,87.9676059113301
"314",2001,"alaska",3647.9,588.3,1.11311525420163
"315",2001,"arizona",5537.1,540.3,46.70219637106
"316",2001,"arkansas",3681.4,452.8,51.6963994239078
"317",2001,"california",3286,617,221.199374250672
"318",2001,"colorado",3868.2,350.7,42.5889963269674
"319",2001,"connecticut",2782.4,335.5,706.929618163055
"320",2001,"delaware",3441.4,611.4,407.245524296675
"321",2001,"district of columbia",5972.8,1736.7,9374.13114754098
"322",2001,"florida",4772.5,797.2,303.993826130486
"323",2001,"georgia",4149.3,497,144.752412852432
"324",2001,"hawaii",5131.5,254.6,190.62712128289
"325",2001,"idaho",2890.3,243.1,15.9636258172107
"326",2001,"illinois",3460.8,636.9,224.530084722897
"327",2001,"indiana",3459.6,371.8,170.469612489546
"328",2001,"iowa",3032.1,269.1,52.3164026845638
"329",2001,"kansas",3916.6,404.8,32.9325617491414
"330",2001,"kentucky",2681.1,257,102.324473975637
"331",2001,"louisiana",4651.1,687,102.498048937245
"332",2001,"maine",2576.7,111.5,41.6870241373724
"333",2001,"maryland",4083.8,783,549.888081841432
"334",2001,"massachusetts",2619.1,479.5,813.894360806328
"335",2001,"michigan",3526.8,554.7,175.866799274763
"336",2001,"minnesota",3319.3,264.4,62.4526671439517
"337",2001,"mississippi",3835.1,350.1,60.920599394637
"338",2001,"missouri",4234.9,541.3,81.7107463206479
"339",2001,"montana",3336.3,352.4,6.21364285910577
