"","year","region","med_age"
"568",2006,"connecticut",39
"569",2006,"delaware",37
"570",2006,"district of columbia",34
"571",2006,"florida",39
"572",2006,"georgia",34
"573",2006,"hawaii",37
"574",2006,"idaho",34
"575",2006,"illinois",35
"576",2006,"indiana",36
"577",2006,"iowa",37
"578",2006,"kansas",36
"579",2006,"kentucky",37
"580",2006,"louisiana",35
"581",2006,"maine",41
"582",2006,"maryland",37
"583",2006,"massachusetts",38
"584",2006,"michigan",37
"585",2006,"minnesota",36
"586",2006,"mississippi",35
"587",2006,"missouri",37
"588",2006,"montana",39
"589",2006,"nebraska",36
"590",2006,"nevada",35
"591",2006,"new hampshire",39
"592",2006,"new jersey",38
"593",2006,"new mexico",36
"594",2006,"new york",37
"595",2006,"north carolina",36
"596",2006,"north dakota",37
"597",2006,"ohio",37
"598",2006,"oklahoma",36
"599",2006,"oregon",37
"600",2006,"pennsylvania",39
"601",2006,"rhode island",38
"602",2006,"south carolina",37
"603",2006,"south dakota",36
"604",2006,"tennessee",37
"605",2006,"texas",33
"606",2006,"utah",28
"607",2006,"vermont",40
"608",2006,"virginia",36
"609",2006,"washington",36
"610",2006,"west virginia",40
"611",2006,"wisconsin",37
"612",2006,"wyoming",37
"613",2007,"alabama",37
"614",2007,"alaska",33
"615",2007,"arizona",35
"616",2007,"arkansas",37
"617",2007,"california",34
"618",2007,"colorado",35
"619",2007,"connecticut",39
"620",2007,"delaware",38
"621",2007,"district of columbia",34
"622",2007,"florida",40
"623",2007,"georgia",34
"624",2007,"hawaii",38
"625",2007,"idaho",34
"626",2007,"illinois",36
"627",2007,"indiana",36
"628",2007,"iowa",37
"629",2007,"kansas",36
"630",2007,"kentucky",37
"631",2007,"louisiana",35
"632",2007,"maine",41
"633",2007,"maryland",37
"634",2007,"massachusetts",38
"635",2007,"michigan",37
"636",2007,"minnesota",36
"637",2007,"mississippi",35
"638",2007,"missouri",37
"639",2007,"montana",39
"640",2007,"nebraska",36
"641",2007,"nevada",35
"642",2007,"new hampshire",39
